Cargo	Agrupacion	Seccion	Votos
DIPUTADOS NACIONALES	DIGNIDAD POPULAR	Comuna 5	235
DIPUTADOS NACIONALES	AUTONOMISTA	Comuna 5	242
DIPUTADOS NACIONALES	AUTODETERMINACIÓN Y LIBERTAD	Comuna 5	3474
DIPUTADOS NACIONALES	APTITUD RENOVADORA	Comuna 5	498
DIPUTADOS NACIONALES		Comuna 5	3468
DIPUTADOS NACIONALES	SOCIALISTA AUTÉNTICO	Comuna 4	834
DIPUTADOS NACIONALES	RENOVADOR FEDERAL	Comuna 4	244
DIPUTADOS NACIONALES	POLÍTICA OBRERA	Comuna 4	812
DIPUTADOS NACIONALES	MOVIMIENTO LIBRES DEL SUR	Comuna 4	562
DIPUTADOS NACIONALES	MOVIMIENTO AL SOCIALISMO	Comuna 4	431
DIPUTADOS NACIONALES	LA LIBERTAD AVANZA	Comuna 4	16569
DIPUTADOS NACIONALES	JUNTOS POR EL CAMBIO	Comuna 4	47140
DIPUTADOS NACIONALES	FRENTE DE TODOS	Comuna 4	38850
DIPUTADOS NACIONALES	FRENTE DE IZQUIERDA Y DE TRABAJADORES	Comuna 4	8070
DIPUTADOS NACIONALES	FEDERAL	Comuna 4	677
DIPUTADOS NACIONALES	DIGNIDAD POPULAR	Comuna 4	367
DIPUTADOS NACIONALES	AUTONOMISTA	Comuna 4	308
DIPUTADOS NACIONALES	AUTODETERMINACIÓN Y LIBERTAD	Comuna 4	2726
DIPUTADOS NACIONALES	APTITUD RENOVADORA	Comuna 4	739
DIPUTADOS NACIONALES		Comuna 4	4510
DIPUTADOS NACIONALES	SOCIALISTA AUTÉNTICO	Comuna 3	728
DIPUTADOS NACIONALES	RENOVADOR FEDERAL	Comuna 3	153
DIPUTADOS NACIONALES	POLÍTICA OBRERA	Comuna 3	589
DIPUTADOS NACIONALES	MOVIMIENTO LIBRES DEL SUR	Comuna 3	404
DIPUTADOS NACIONALES	MOVIMIENTO AL SOCIALISMO	Comuna 3	307
DIPUTADOS NACIONALES	LA LIBERTAD AVANZA	Comuna 3	14665
DIPUTADOS NACIONALES	JUNTOS POR EL CAMBIO	Comuna 3	44490
DIPUTADOS NACIONALES	FRENTE DE TODOS	Comuna 3	28206
DIPUTADOS NACIONALES	FRENTE DE IZQUIERDA Y DE TRABAJADORES	Comuna 3	7163
DIPUTADOS NACIONALES	FEDERAL	Comuna 3	539
DIPUTADOS NACIONALES	DIGNIDAD POPULAR	Comuna 3	270
DIPUTADOS NACIONALES	AUTONOMISTA	Comuna 3	273
DIPUTADOS NACIONALES	AUTODETERMINACIÓN Y LIBERTAD	Comuna 3	2663
DIPUTADOS NACIONALES	APTITUD RENOVADORA	Comuna 3	545
DIPUTADOS NACIONALES		Comuna 3	3610
DIPUTADOS NACIONALES	SOCIALISTA AUTÉNTICO	Comuna 2	431
DIPUTADOS NACIONALES	RENOVADOR FEDERAL	Comuna 2	59
DIPUTADOS NACIONALES	POLÍTICA OBRERA	Comuna 2	206
DIPUTADOS NACIONALES	MOVIMIENTO LIBRES DEL SUR	Comuna 2	269
